author id,created_at,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,CARDIFFNLP_ROBERTA_PREDS,hateXplain_PREDS,COVID_HATE_BERT_PREDS,date,COVID_HATE_BERT_PREDS_bin,hateXplain_PREDS_bin,voting_results
1046076663363031040,2021-01-25 06:37:25+00:00,1353592795626303489,en,2,0,0,1,Twitter for Android,"#NationalVotersDay #SarkaruVaariPaata #coronavirus #himachalstatehoodday #VotersDay 
naku la sikkim #india #ChinaLiedMillionsDied #China

#FreeTibet 

#Xinjiang want freedom from china

BOYCOTT CHINESE PRODUCTS 

BOYCOTT CHINA https://t.co/pMKbkRvfO3",1,1,2,2021-01-25,1,0,1
1346705736215142404,2021-01-13 20:06:14+00:00,1349447686534021120,en,2,0,1,0,Twitter,daily reminder that #china is genociding #uighurs in #xinjiang #neveragain #fucktheccp #freehongkong,0,0,2,2021-01-13,1,1,1
855963462,2021-03-25 01:54:36+00:00,1374902503884619781,en,0,0,0,0,Twitter Web App,"#China THE WORLD NEEDS TO GET OFF CHEEP SHIT AND STOP BUYING FROM CHINA UNTILL THEY TREAT PEOPLE LIKE HUMANS, AND THEIR NOT THE ONLY COUNTRY THAT THINKS THEY OWN PEOPLE WE NEED A WORLDWIDE BOYCOTT OF ALL THESE COUNTRIES...",1,1,2,2021-03-25,1,0,1
1566751266,2021-06-21 11:32:33+00:00,1406938084063780872,en,10,1,4,18,Twitter for iPhone,"THE HORROR IS BEGUN, TODAY IS THE https://t.co/QhLS1HWeHR DAY OF THE YULIN TORTURE FESTIVAL. THEY ARE EATING RIGHT NOW IN YULIN, TORTURED DOGS AND CATS.  WE HAVE TO BOYCOTT THIS EVIL COUNTRY. DONT BUY MADE IN CHINA  #YULIN #CHINA #ANIMALCRUELTY #BoycottChina #BoycottMadeInChina https://t.co/9cXXMGJr95",1,1,2,2021-06-21,1,0,1
1357117870480719873,2021-11-11 17:18:20+00:00,1458846566148546593,en,1,1,0,1,Twitter for iPhone,This is How #CHINA destroying our mother land. China is #Invader. We strongly object #MyitsoneDam. CHINA Get out from #MYANMAR . This is our country and not belongs to you @USEmbassyBurma @USMission2ASEAN @NUGMyanmar https://t.co/eEigf9b6q6,1,1,2,2021-11-11,1,0,1
409253696,2021-10-18 00:54:42+00:00,1449901721648570369,en,0,0,0,0,Twitter Web App,"The Evil of #China 
is
plain to see

We are going to have to fight
sooner or later

STOP BUYING #CHINESE CRAP!

https://t.co/t3v0SAuKt0",1,1,2,2021-10-18,1,0,1
1131776785,2021-03-06 14:57:21+00:00,1368214120785448961,en,0,1,0,0,Twitter for Android,"Did #China and #Russia deny that the #WarOnTigray is costing the lives of millions of #Tigrayans? Millions are starving to death, &amp; 1000s massacred..

@WuPeng_MFAChina @mfa_russia @ChinaEmbAddis @Chinamission2un @ChinaMissionGva @RussiaUN @RusEmbEthiopia @zlj517 @SpokespersonCHN",0,0,2,2021-03-06,1,1,1
565260419,2021-08-17 05:22:03+00:00,1427500952446128136,en,0,0,1,0,Twitter for Android,"#USAabandonedAfghanistan 
failed 
#China #Iran #Russia supported
#TalibanIslamistTerrorBack
And what are the rest of te world do other than just watch and save their own and the fleeing ones
F**k #Taliban #SaveAfghanistan #AfganistanWomen",1,1,2,2021-08-17,1,0,1
1111114395051085824,2021-03-14 00:18:46+00:00,1370892121654362121,en,0,0,0,0,Twitter for Android,"Why is it called ""Falcon and The Winter Soldier"" if Falcon is supposed to be the new Captain America? 

Imo so its easier to market it to China. 

Fucking hell I hope I'm wrong. 

#China #fuckchina #winniethepooh",0,0,2,2021-03-14,1,1,1
1319477703280644098,2021-02-12 04:32:12+00:00,1360084263429959680,en,1,0,0,0,Twitter for Android,"When #Pakistan will take stand? #India is at weakest position. Or🇵🇰will wait, that #USA or #China will take lead to occupy those lands and muslims from India. 
Politicians were planted from west to destroy 🇵🇰economy. They delivered 90%. Now we can only wish for IOK. Cant free it",1,1,2,2021-02-12,1,0,1
