tweet,label
#China we all closing are eyes to whats going on as we enjoy the cheap stuff that being made by #SlavesArePeopleWithoutFreedom wish everyone in the world can wake up and do something about this stop buying from china until they release all the people from the concentration camps.,0
". . . and they should be concerned - #china is unlikely to honour #whitePrivilege

#Dumb #Straya - Only #America and #UK are allowed to exploit us.

https://t.co/QubPmFMjtx

#auspol #yobboland #tradiesville #redsUnderTheBeds #CommieBastards #BowLeggedYellowSkins",0
"Make #Racist #China immediately stop murdering yearly 1000's of people. 1000's executed, gunned down, injection, ALL dead. 
STOP China.
#AllLivesMattter",1
"Nice try, China, but I’m proud you think I’m a scumbag https://t.co/CZlgWvof9K  #China #Roguestate",0
"#HongKong has never been a #British #colony? I guess probably they wanna mean that #ccp #china is actually #colonizing Hong Kong now? Or more like Hong Kong now being the colon of China, full of ccp shit …
#fuckccp #boycottchina https://t.co/7zQoGZFsSZ",1
Speaking of a million #Useless fook army. Ask #China what happened when they approached the little boy. #CrushingCansl,0
"#Taliban + #Pakistan + #China  = #Terrorists + there #Friends 
#TalibanTakeover #Afghanistan #kabulairport 
It's time to kill all these non human, if you don't know humanity then you are are eligible for being called humans.
Die #Taliban, you deserve death from Allah ☠️",0
"WEST PEOPLE WANT STOP DOING BUSINESS WITH COMMUNIST COUNTRIES AND DICTATORSHIPS. 

GO TO TH HELL ...

ATACK UKRAINE  IS ATACK ALL WEST.

RUSSIA AND HIS PARTNERS WILL PAY THE SAME PRICE OF UKRAINE #EUROPE #EU #EUROPEUNION #CHINA #INDIA #RUSSIA #UK #GERMANY #LUXEMBOURG #SWIZERLAND https://t.co/9n7ypbu6AD",0
"#China is Not a country, it is a land ran by a group of #gangsters worse than monster #Humanity has Never seen ! #chinese R NOT A RACE ! They should stand 4 justice en fight that Evil regime representing them to be a #Human Race on 🌏! #UyghurHolocaust is a dark market 4 chinese!",1
"Our government has been bought, that's why.  https://t.co/kjbus5SwFK #TikTok #marcorubio #CCP #trump #maga #Republican #buildthewall #2ndAmendment #Karen #lizwheeler #DemocratsHateAmerica #china #elonmusk #thehumanlie #police #wellbeingcheck",0
"Lol at stupid bots trying to make their country beautiful. We wouldn't be in this pandemic if you Chinese just minded your own business, did not eat questionable animals and practiced personal hygiene. Ew no to #China. Your artists dont even look good",1
"What punishments should white men prepare for #Asian slut-traitors who defect to the #CCP ? 

#Eileen_Gu #EileenGuTraitor #China https://t.co/DdcPFu9xnE",1
ITS TIME TO SEND A GODDAMN MESSAGE FOR FUCKING THIS SHIT UP. WHOEVER IS RESPONSIBLE #CHINA SHOULD GE FUCKING NUKED. WHERE IS THE OUTRAGE ON THIS #FUCKBIDEN #FUCKCHINA #FUCKEM #USA,1
"♠️what a nice blowjob♠️
#chinese #chinesewomam #chineseslut #china #chinesebitch #chineseBBC #chinesefuck #blasian #chineseblackfuck  #blackman #blackcock #Meihei #chinesemeihei #BBC #analfuck #pussyfuck #blowjob https://t.co/N6bN4mz8g2",0
#OhioState;#NWO;#ThePrince;#TheBattle;#TheBeast; #Kubrom...4 #Russia &amp; #China &amp; #Germany &amp; #Iran N #NorthKorea &amp; #All: U #See #Kubrom aka #TheEmperor needed a #WhiteGirl 2 make #TheWorld mad N #Whites R not #Afraid to #TalkAboutTheEagle in a #ClamNHelpfulway But #NotBlacks...,0
"#halloween2021 #Halloween #halloweencostume #HALLOWEENPARTY
#Muthafuckthepolice illiterate dumb fucks whoop a cunt this Halloween!
#ComeGetSome #StillStanding #BeBold #UK #EU #Congress #POTUS #Canada #UN #China #Russia #UnitedStates #Mex #Col #Beijing #Moscow #FactCheck #Trending https://t.co/kmuYVD0VFv",0
